Date,BTC_normalized_log_return,SPX_normalized_log_return,GOLD_normalized_log_return
2017-10-25,0.8382940267196104,-0.40740066060676744,0.018670838877709272
2017-10-26,0.5454903544779646,0.06742481187316736,-0.8259661873434486
2017-10-27,-0.501249448563288,0.608262716005381,0.144861630643627
2017-10-30,1.254918363876258,-0.2894647673842168,0.45366004809581695
2017-10-31,1.1434355688030733,0.041373241178996684,-0.6420358082482635
2017-11-01,0.9572866596091975,0.09304329722920558,0.5292954533121607
2017-11-02,0.9525286803235077,-0.018862886574787612,0.02705664794392969
2017-11-03,0.36235418865003066,0.2129815713426956,-0.7845221829958012
2017-11-06,-0.6065013967072715,0.06744914901313824,0.996651156465564
2017-11-07,0.3420002515331943,-0.04914361201213683,-0.5231655754137569
2017-11-08,0.9136297039923296,0.08120240577473832,0.6183149153090469
2017-11-09,-0.9865435889907117,-0.3351096067919294,0.2753814723222172
2017-11-10,-1.713763563793376,-0.10577396074693436,-1.1465059726980065
2017-11-13,-0.230797026681195,0.044499642933653764,0.3527647357506453
2017-11-14,0.2187252707405512,-0.2187456131282871,0.29318073548090706
2017-11-15,2.1075339348044007,-0.4766616700323277,-0.4726082535401128
2017-11-16,1.5745909458393896,0.6180117433757859,0.0020212230352016987
2017-11-17,-0.4940925787647498,-0.24407905845364006,1.4755619590100149
2017-11-20,1.323095754574423,0.06780270651690441,-1.797037735663426
2017-11-21,-0.38461421997266276,0.48678064550320926,0.4938992531776981
2017-11-22,0.4554571591342505,-0.09399104852753383,1.2087518137788582
2017-11-24,-0.03485275735306092,0.13003983099185246,-0.4514545183497263
2017-11-27,3.7786835291563943,-0.06473742273541744,0.5445599965424103
2017-11-28,0.4963441430082939,0.7488326229397453,-0.015066784874605525
2017-11-29,-0.4101361315014579,-0.06353619175803485,-1.1116222026024825
2017-11-30,0.7182008206670182,0.6176070404788144,-0.8298971085879531
2017-12-01,1.5026660605350715,-0.1959235289267134,0.42683638081680836
2017-12-04,1.2884811459788539,-0.11812880953753525,-0.4227449525942774
2017-12-05,0.44849142699266825,-0.3333049972856427,-1.112897377379803
2017-12-06,3.9573372931627833,-0.04315176362292409,0.061391434886225525
2017-12-07,4.910741099524797,0.1998631634380073,-1.139791318686268
2017-12-08,-1.7319240685272128,0.4046112408414429,-0.44022545905589694
2017-12-11,0.44661094585486205,0.2213334450279593,-0.16783299820391206
2017-12-12,0.5770036387593901,0.08959877463241267,-0.48513366045636486
2017-12-13,-1.3440897147095385,-0.07182590844526811,0.550993558001435
2017-12-14,0.1724048681599107,-0.3598878693896692,0.6834907994115155
2017-12-15,1.430702789607294,0.6796534282519028,-0.00577160705457326
2017-12-18,1.6450094478833515,0.3932101938304187,0.636283803223432
2017-12-19,-1.6290285006899856,-0.2924939365104293,-0.1492359988211214
2017-12-20,-1.5073595393471422,-0.10019735483394385,0.41464902303245627
2017-12-21,-1.1489102062123628,0.12442433515143599,0.04424068448871403
2017-12-22,-2.962203170516877,-0.07064387881170356,0.6460081470389948
2017-12-26,3.3006928472859367,-0.1186292635214666,0.6830279870885114
